ropaty,name,address,email,country_code,telephone,dpo_name,dpo_address,dpo_email,dpo_country_code,dpo_phone,rep_name,rep_address,rep_email,rep_country_code,rep_phone
Processer,qwe,Pune,abc@gmail.com,,1234567890,okmjh,Pune,qwe@gmail.com,,9876542345,,,,,
Processer,Shivani,Puhe,shivani@gmail.com,,123456789,Himani,Pune,himani@gmail.com,,987654321,,,,,
Processer,Shivani,Pune,shivani@gmail.com,,987654321,john,Pune,john2gmail.com,,123456789,,,,,
Processer,Shivani,wakad,ni@gmail.com,,123456789,,,,,,Ni,Pune,ani@gmail.com,,987623456655
Processer,Shivani,Pune,shivani@gmail.com,,123456789,Joe,1234567890,joe@gmail.com,,98765432109876,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Controller,Susham,Pune,susham@gmail.com,,123456789,,,,,,,,,,
Controller,Susham,Pune,susham@gmail.com,,123456789,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,98765432,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,9876512345,,,,,,,,,,
Processer,Shivani,Pune,shivaji@gmail.com,,3456789876,,,,,,,,,,
Processer,Shivani,Pune,saks@gmail.com,,98762345,,,,,,,,,,
Controller,Shivani,Pune,saks@gmail.com,,777777777,,,,,,,,,,
Controller,saks,mqq,shivanibachhav26@gmail.com,,122222222,,,,,,,,,,
Controller,Shivani,Pune,shivani@gmail.com,,1234567890,,,,,,,,,,
Controller,SHivani,Pune,shivanibachhav26@gmail.com,,1234567,,,,,,,,,,
Processer,Shivani,Pune,saks@gmail.com,,12324231,,,,,,,,,,
Processer,Shivani,wakad,shivanibachhav26@gmail.com,,123456789,,,,,,,,,,
Processer,CG,Pune,saks@gmail.com,,132423412,,,,,,,,,,
Processer,CG,Pune,saks@gmail.com,,98762134566,,,,,,,,,,
Processer,h,tg,h,,123456,,,,,,,,,,
Controller,i,htsgqws,wesdfser@gmail.com,,123456789,,,,,,,,,,
Processer,Shivani,Pune,saks@gmail.com,,12342322,,,,,,,,,,
Processer,Shivani,Pune,saks@gmail.com,,1232311421,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,123456765,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1233243242,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1234567,,,,,,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,hgjerhjg,rjkhjrhr,nilo@gmail.com,,999999999
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,hgjerhjg,rjkhjrhr,nilo@gmail.com,,999999999
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,hgjerhjg,rjkhjrhr,nilo@gmail.com,,999999999
Processer,A,A,shivanibachhav26@gmail.com,,12345,,,,,,,,,,
Processer,IT,Pune,shivanibachhav26@gmail.com,,1234567,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,123456787,,,,,,,,,,
Processer,Shivani,A,shivanibachhav26@gmail.com,,1231124312,,,,,,,,,,
Processer,Shivani,sda,saks@gmail.com,,1323,,,,,,,,,,
Processer,a,a,shivanibachhav26@gmail.com,,12341,,,,,,,,,,
Processer,Shivani,S,shivanibachhav26@gmail.com,,1234567,,,,,,,,,,
Processer,Shivani,A,shivanibachhav26@gmail.com,,1242321,,,,,,,,,,
Processer,Shivani,P,shivanibachhav26@gmail.com,,1233321,,,,,,,,,,
Processer,Shivani,P,shivanibachhav26@gmail.com,,12313123124,,,,,,,,,,
Controller,j,h,j@gmail.com,,8765,,,,,,,,,,
Processer,Shivani,P,shivanibachhav26@gmail.com,,2221322,,,,,,,,,,
Processer,Shivani,s,shivanibachhav26@gmail.com,,12313,,,,,,,,,,
Controller,Shivani,D,shivanibachhav26@gmail.com,,13123132,,,,,,,,,,
Processer,Shivani,A,shivanibachhav26@gmail.com,,14212134,,,,,,,,,,
Processer,Shivani,S,shivanibachhav26@gmail.com,,1322,,,,,,,,,,
Processer,A,A,saks@gmail.com,,82113,,,,,,,,,,
Processer,Shivani,A,shivanibachhav26@gmail.com,,123123,,,,,,,,,,
Processer,D,Z,shivanibachhav26@gmail.com,,1242254,,,,,,,,,,
Processer,Shivani,A,shivanibachhav26@gmail.com,,123456,,,,,,,,,,
Processer,Shivani,S,shivanibachhav26@gmail.com,,23142,,,,,,,,,,
Processer,Shivani,A,shivanibachhav26@gmail.com,,21411,,,,,,,,,,
Controller,Shivani,L,shivanibachhav26@gmail.com,,123456,,,,,,,,,,
Processer,A,A,shivanibachhav26@gmail.com,,2131,,,,,,,,,,
Controller,Shivani,A,shivanibachhav26@gmail.com,,1232343,,,,,,,,,,
Processer,Shivani,S,shivanibachhav26@gmail.com,,2142,,,,,,,,,,
Processer,Shivani,A,shivanibachhav26@gmail.com,,214235,,,,,,,,,,
Controller,A,A,shivanibachhav26@gmail.com,,12423,,,,,,,,,,
Processer,Shivani,a,shivanibachhav26@gmail.com,,1243214,,,,,,,,,,
Processer,Shivani,A,shivanibachhav26@gmail.com,,124435,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,nilofar.mujawar@capgemini.com,,777777777777,,,,,,,,,,
Controller,Business ,California,Business@mail.com,,123456789,,,,,,,,,,
Controller,Business ,California,Business@mail.com,,123456789,,,,,,,,,,
Processer,james cooper,london,james@mail.com,,54343554,,,,,,,,,,
Processer,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,nilofar.mujawar@capgemini.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,hgjerhjg,rjkhjrhr,nilo@gmail.com,,999999999
Controller,Nilofar Mujawar,kyjtrkyjt,nilofar.mujawar@capgemini.com,,777777777777,euirhtuhjnrgt,,,,9999999999,,,,,
Controller,CG,Hinjewadi Phase 3,sushamnandi2468@gmail.com,,9876543210,,,,,,,,,,
Processer,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,hgjerhjg,rjkhjrhr,nilo@gmail.com,,999999999
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,hgjerhjg,rjkhjrhr,nilo@gmail.com,,999999999
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,Spirit walker,london,Spirit@mail.com,,12345678,,,,,,,,,,
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,Yash,pune,yash@gmail.com,,876543234,,,,,
Controller,P,P,P,,12345678,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,john,Pune,john@gmail.com,,1221234567,,,,,
Controller,shivaji,Pune,saks@gmail.com,,1231423,A,Pune,a@gmail.com,,12123,,,,,
Controller,shivaji,Pune,saks@gmail.com,,1231423,A,Pune,a@gmail.com,,12123,,,,,
Controller,saks,Pune,shivanibachhav26@gmail.com,,1231423,yash,,yash@gmail.com,,1234567,nilo,Pune,nilo@gmail.com,,987654345
Controller,Yash,Pune,yash@gmail.com,,123456789,John,Pune,john@gmail.com,,98765432,Jim,Pune,jin@gmail.com,,123342564543
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Controller,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Amazon,"California, United States",ritu.patil@capgemini.com,,1234567890,,,,,,Ritu Patil,"California, United States",ritu.patil@capgemini.com,,122334455667
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivaji@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,John,Pune,john@gmail.com,,12453412,TCS,Pune,tcs@gmail.com,,98563
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,hgjerhjg,rjkhjrhr,nilo@gmail.com,,999999999
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Amazon,"California, United States",ritu.patil@capgemini.com,,1234567890,,,,,,Ritu Patil,"California, United States",ritu.patil@capgemini.com,,122334455667
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,hgjerhjg,rjkhjrhr,nilo@gmail.com,,999999999
Processer,Shivani,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Processer,saks,,saks@gmail.com,,1231423,,,,,,,,,,
Processer,saks,,saks@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Capgemini,Wall Street,abc@gmail.com,,798798686,,,,,,John,Street 405,abc@gmail.com,,86868
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,capgemini,pune,yelaveavinash90@gmail.com,,1233466789,,,,,,,,,,
Controller,Avinash,pune,yelaveavinash90@gmail.com,,1234567889,,,,,,,,,,
Controller,Avinash,pune,yelaveavinash90@gmail.com,,12345678,,,,,,,,,,
Processer,Business ,london,BusinessCapg@mail.com,,54343554,,,,,,,,,,
Controller,Business ,london,BusinessCapg@mail.com,,54343554,,,,,,,,,,
Controller,Avinash,pune,yelaveavinash90@gmail.com,,1234567789,,,,,,,,,,
Controller,Avinash,pune,yelaveavinash90@gmail.com,,123344567890,,,,,,,,,,
Controller,Avinash,pune,yelaveavinash90@gmail.com,,1234567890,,,,,,,,,,
,Nilofar Mujawar,kyjtrkyjt,nilofarmujawar78@gmail.com,,777777777777,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Controller,capgemini,pune,capgemini7@gamil.com,,1234567890,,,,,,,,,,
Controller,Avinash,pune,yelaveavinash90@gmail.com,,1234578,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,nilofarmujawar78@gmail.com,,777777777777,,,,,,,,,,
Controller,Business ,California,james@mail.com,,12345678,,,,,,,,,,
Processer,Business ,California,james@mail.com,,12345678,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,nilofarmujawar78@gmail.com,,777777777777,,,,,,,,,,
Processer,Business ,California,Business@mail.com,,12345678,,,,,,,,,,
Controller,Amazon,"California, United States",ritu.patil@capgemini.com,,1234567890,,,,,,,,,,
Controller,capgemini,pune,invent@capgemini.com,,1234567890,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,capgemi i,"Whitefield, Bangalore, 560036",johndeo@capgemini.com,,9028470083,,,,,,,,,,
Controller,john,hinjewadi,johndeo@capgemin i.com,,90284700723,,,,,,,,,,
Controller,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,john deo,Hinjewadi,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,john deo,HInjewadi,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,john deo ,Hinjewadi Pune ,johndeo@capgemini.com,,9028470073,,,,,,,,,,
,John deo,Hinjewadi,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,John deo,Hinjewadi Pune,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,John deo,Hinjewadi Pune,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,John deo,Hinjewadi Pune,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,John deo ,Hinjewadi,johndeo@capegmini.com,,9028470073,,,,,,,,,,
Processer,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,john deo,Hinjewadi ,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,john deo ,Hinjewadi Pune ,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,jkwed,ajkbdhsd,avinash.yelave@capgemini.com,,888888888,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,john,Pune,john@gmail.com,,123456,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,john deo,Hinjewadi,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Controller,john deo,Hinjewadi,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Business ,london,Spirit@mail.com,,12345678,,,,,,,,,,
,pp,p,Business@mail.com,,54343554,,,,,,,,,,
Controller,john deo,Hinjewadi ,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,Capgemini,wallstreet,johndoe@capgemini.com,,123456,,,,,,,,,,
Controller,saks,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Processer,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,CG,Pune,xyz@cg.com,,1231423,,,,,,,,,,
Controller,John deo,HInjewadi,johndeo@capgemini.com,,9028470073,,,,,,,,,,
Controller,CG,Pune,shivani.sharadchandra-bachhav@capgemini.com,,1231423,,,,,,,,,,
Controller,CG,Pune,shivani.sharadchandra-bachhav@capgemini.com,,1231423,yash,Pune,yash@gmail.com,,1231431223,,,,,
Controller,Shivani,Pune,saks@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,johndeo,hinjewadi,johndeo@capgemini.com,,9028470073,,,,,,,,,,
,CG,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,Business ,london,BusinessCapg@mail.com,,12345678,,,,,,,,,,
Processer,Business ,California,fly@mail.com,,54343554,,,,,,,,,,
Controller,Shivani,Pune,shivanibachhav26@gmail.com,,1231423,,,,,,,,,,
Controller,CG,Pune,shivani.sharadchandra-bachhav@capgemini.com,,1231423,John,Pune,john@gmail.com,,12343452,,,,,
Processer,Invent,london,BusinessCapg@mail.com,,12346666,,,,,,,,,,
Processer,Capgemini,California,Spirit@mail.com,,54343554,,,,,,,,,,
Controller,Business ,California,BusinessCapg@mail.com,,54343554,,,,,,,,,,
Processer,Inventor,California,inventor@mail.com,,54343554,,,,,,,,,,
Controller,Bus_detail,london,BusinessCapg@mail.com,,12345678,,,,,,,,,,
Processor,Invant,California,BusinessCapg@mail.com,,54343554,,,,,,,,,,
Controller,Harry,Hinjewadi Phase 3,susham.nandi@capgemini.com,,9876543210,,,,,,,,,,
Controller,Capgemini,Wall Street,abc@gmail.com,,123456,John Doe,Wall street,john@gmail.com,,1234567,Wipro,Street 405,abc@gmail.com,,86868
Controller,CG,Pune,abc@gmail.com,,1231423,John,Pune,xyz@gmail.com,,12345678,Doe,Banglore,doe@gmail.com,,234567
Controller,HCL,Pune,yzc@gmail.com,,1234567,,,,,,,,,,
Controller,frog,Pune,frog@gmail.com,,1231423,CG,Pune,cg@gmail.com,,234567,,,,,
Controller,john ,pune,johndeo@capgemini.com,,9028374848,johndeo,hinjewadi,johndeo@capgemini.com,,9028470073,john deo,akurdi,johndeo@capgemini.com,,1223456767
Controller,Capgemini,Wall Street,johndoe@capgemini.com,,123456,John Doe,Wall street,john@gmail.com,,1234567,,,,,
Controller,Nilofar Mujawar,kyjtrkyjt,mnilofar178@gmail.com,,777777777777,euirhtuhjnrgt,hgyfdgf,nilo@gmail.com,,9999999999,,,,,
Controller,Capgemini,wallstreet,johndoe@capgemini.com,,123456,John Doe,Wall street,john@gmail.com,,1234567,,,,,
